gt_value,prediction,error,absolute_error,relative_error,absolute_relative_error,relative_error_percent,absolute_relative_error_percent
514800,533907.9583590216,19107.958359021577,19107.958359021577,0.03711724622964564,0.03711724622964564,3.711724622964564,3.711724622964564
495000,483292.7142812033,-11707.285718796717,11707.285718796717,-0.023651082260195386,0.023651082260195386,-2.365108226019539,2.365108226019539
858500,746915.435091923,-111584.56490807701,111584.56490807701,-0.12997619674790567,0.12997619674790567,-12.997619674790567,12.997619674790567
841500,797585.6808721143,-43914.31912788574,43914.31912788574,-0.05218576248114764,0.05218576248114764,-5.218576248114764,5.218576248114764
476685,498519.94885406375,21834.948854063754,21834.948854063754,0.045805823246092815,0.045805823246092815,4.580582324609281,4.580582324609281
646400,580729.9955572353,-65670.00444276468,65670.00444276468,-0.10159344746714832,0.10159344746714832,-10.159344746714833,10.159344746714833
681750,583706.9014697826,-98043.09853021742,98043.09853021742,-0.1438109256035459,0.1438109256035459,-14.381092560354592,14.381092560354592
405900,388350.2063408895,-17549.793659110495,17549.793659110495,-0.0432367422003215,0.0432367422003215,-4.323674220032149,4.323674220032149
565600,583751.8129335991,18151.81293359911,18151.81293359911,0.03209302145261512,0.03209302145261512,3.209302145261512,3.209302145261512
406020,382676.3344425381,-23343.665557461907,23343.665557461907,-0.05749388098483303,0.05749388098483303,-5.749388098483303,5.749388098483303
686800,707363.05694649,20563.05694648996,20563.05694648996,0.029940385769496158,0.029940385769496158,2.994038576949616,2.994038576949616
404000,426747.88983890286,22747.88983890286,22747.88983890286,0.05630665801708629,0.05630665801708629,5.63066580170863,5.63066580170863
757500,774166.6741223299,16666.674122329918,16666.674122329918,0.02200221006248174,0.02200221006248174,2.200221006248174,2.200221006248174
1515000,1208296.7082148967,-306703.29178510327,306703.29178510327,-0.20244441701987015,0.20244441701987015,-20.244441701987014,20.244441701987014
1161500,918321.4106931468,-243178.58930685325,243178.58930685325,-0.2093659830450738,0.2093659830450738,-20.93659830450738,20.93659830450738
530250,393055.0806106087,-137194.91938939132,137194.91938939132,-0.25873629304929996,0.25873629304929996,-25.873629304929995,25.873629304929995
373700,425968.47547088144,52268.47547088144,52268.47547088144,0.13986747516960515,0.13986747516960515,13.986747516960515,13.986747516960515
373700,443859.6842078203,70159.68420782028,70159.68420782028,0.18774333478142968,0.18774333478142968,18.774333478142967,18.774333478142967
801900,710274.4249884286,-91625.5750115714,91625.5750115714,-0.11426059983984463,0.11426059983984463,-11.426059983984462,11.426059983984462
984750,988620.4373423313,3870.437342331279,3870.437342331279,0.003930375569770276,0.003930375569770276,0.3930375569770276,0.3930375569770276
425700,442689.04010041757,16989.040100417566,16989.040100417566,0.03990848038622872,0.03990848038622872,3.9908480386228717,3.9908480386228717
328250,318726.37669821474,-9523.623301785265,9523.623301785265,-0.029013323082361812,0.029013323082361812,-2.901332308236181,2.901332308236181
398950,314984.3438284773,-83965.65617152269,83965.65617152269,-0.21046661529395333,0.21046661529395333,-21.046661529395333,21.046661529395333
1039500,951398.2554198051,-88101.74458019494,88101.74458019494,-0.08475396304011057,0.08475396304011057,-8.475396304011056,8.475396304011056
386100,418117.9844157834,32017.984415783372,32017.984415783372,0.0829266625635415,0.0829266625635415,8.292666256354151,8.292666256354151
898900,886259.1896999587,-12640.81030004134,12640.81030004134,-0.01406253231732266,0.01406253231732266,-1.406253231732266,1.406253231732266
