price_bin,rows,mean_gt_value,MAE,MAPE,Bias
<250k,60,220801.8,21647.71084608829,9.985137135058185,6.994771772823643
250k-400k,488,340757.9610655738,27760.324651370105,8.130261799834685,4.324541155056562
400k-600k,791,488590.38685208594,28585.944005111898,5.831296150450041,0.8642245299794074
600k-1M,483,749331.3933747412,52136.23951541804,6.955281792190885,-0.8636056247466017
>1M,144,1276848.1041666667,135102.91234491102,10.182633272149353,-3.469879947759049
